Timestamp,Open,High,Low,Close,Volume
2026-03-11 10:00:00,1.35872,1.35898,1.35738,1.35805,16756.0
2026-03-11 11:00:00,1.35806,1.3604,1.35762,1.3603,11532.0
2026-03-11 12:00:00,1.3603,1.36052,1.35838,1.35838,7717.0
2026-03-11 13:00:00,1.35838,1.35908,1.35748,1.35847,10009.0
2026-03-11 14:00:00,1.35846,1.35938,1.35837,1.35912,8859.0
2026-03-11 15:00:00,1.35913,1.35957,1.35844,1.3585,5251.0
2026-03-11 16:00:00,1.3585,1.35946,1.35838,1.35918,2353.0
2026-03-11 17:00:00,1.3594,1.35967,1.359,1.35912,770.0
2026-03-11 18:00:00,1.35912,1.35995,1.35878,1.35993,1978.0
2026-03-11 19:00:00,1.35995,1.36044,1.35968,1.36032,4382.0
2026-03-11 20:00:00,1.3603,1.36049,1.35864,1.35875,6462.0
2026-03-11 21:00:00,1.35876,1.35927,1.35786,1.35824,9346.0
2026-03-11 22:00:00,1.3582,1.35925,1.35785,1.35886,8794.0
2026-03-11 23:00:00,1.35885,1.35918,1.35873,1.35894,6497.0
2026-03-12 00:00:00,1.35894,1.35932,1.35867,1.35923,5103.0
2026-03-12 01:00:00,1.35921,1.35945,1.35866,1.35938,9084.0
2026-03-12 02:00:00,1.35937,1.35938,1.35836,1.3587,7155.0
2026-03-12 03:00:00,1.3587,1.35917,1.35821,1.35868,7554.0
2026-03-12 04:00:00,1.3587,1.359,1.35768,1.35878,7930.0
2026-03-12 05:00:00,1.35878,1.35902,1.3584,1.35862,6181.0
2026-03-12 06:00:00,1.35862,1.35938,1.3586,1.3592,4490.0
2026-03-12 07:00:00,1.35922,1.35956,1.35868,1.35924,5362.0
2026-03-12 08:00:00,1.35922,1.36046,1.35916,1.36008,7040.0
2026-03-12 09:00:00,1.36008,1.36116,1.35946,1.36084,12238.0
2026-03-12 10:00:00,1.36082,1.36151,1.35977,1.36126,13743.0
2026-03-12 11:00:00,1.36128,1.3634,1.36108,1.36194,17284.0
2026-03-12 12:00:00,1.36194,1.36316,1.36114,1.36282,12364.0
2026-03-12 13:00:00,1.36284,1.36324,1.36196,1.3626,10444.0
2026-03-12 14:00:00,1.36258,1.36284,1.36192,1.36228,6252.0
2026-03-12 15:00:00,1.36226,1.363,1.3621,1.36294,5613.0
2026-03-12 16:00:00,1.36294,1.36429,1.36264,1.36378,4594.0
2026-03-12 17:00:00,1.3641,1.36452,1.36356,1.36368,741.0
2026-03-12 18:00:00,1.3637,1.3646,1.36356,1.36362,1133.0
2026-03-12 19:00:00,1.3636,1.36372,1.36301,1.3633,2340.0
2026-03-12 20:00:00,1.3633,1.36334,1.3623,1.36264,6865.0
2026-03-12 21:00:00,1.36264,1.36336,1.36212,1.36316,9700.0
2026-03-12 22:00:00,1.36316,1.36396,1.36265,1.36372,11274.0
2026-03-12 23:00:00,1.36372,1.36426,1.36355,1.36389,6505.0
2026-03-13 00:00:00,1.3639,1.36472,1.36382,1.36452,7001.0
2026-03-13 01:00:00,1.3645,1.36481,1.36432,1.36465,5744.0
2026-03-13 02:00:00,1.36466,1.36554,1.36436,1.36528,7700.0
2026-03-13 03:00:00,1.3653,1.36657,1.36514,1.36608,5662.0
2026-03-13 04:00:00,1.36606,1.3672,1.36602,1.36636,7599.0
2026-03-13 05:00:00,1.36638,1.36712,1.36602,1.367,6135.0
2026-03-13 06:00:00,1.36701,1.368,1.36646,1.36783,8458.0
2026-03-13 07:00:00,1.36784,1.36836,1.36654,1.36662,7174.0
2026-03-13 08:00:00,1.36661,1.37036,1.3655,1.37024,12733.0
2026-03-13 09:00:00,1.37026,1.37159,1.36809,1.3686,13292.0
2026-03-13 10:00:00,1.3686,1.37147,1.36835,1.37133,13064.0
2026-03-13 11:00:00,1.37136,1.37371,1.37124,1.37368,15905.0
2026-03-13 12:00:00,1.37367,1.37418,1.37295,1.37338,11529.0
2026-03-13 13:00:00,1.37337,1.37389,1.37276,1.37324,8834.0
2026-03-13 14:00:00,1.37326,1.3735,1.37187,1.37225,7187.0
2026-03-13 15:00:00,1.37223,1.37332,1.37217,1.37288,5220.0
2026-03-13 16:00:00,1.37288,1.37341,1.37206,1.37206,8181.0
2026-03-15 17:00:00,1.37254,1.37296,1.37228,1.3727,1406.0
2026-03-15 18:00:00,1.37277,1.37285,1.37133,1.3714,3341.0
2026-03-15 19:00:00,1.37139,1.37158,1.3709,1.3713,4189.0
2026-03-15 20:00:00,1.3713,1.37132,1.37064,1.37072,5851.0
2026-03-15 21:00:00,1.37072,1.3715,1.37052,1.37058,6217.0
2026-03-15 22:00:00,1.37058,1.37124,1.37048,1.37123,3811.0
2026-03-15 23:00:00,1.3712,1.37142,1.37084,1.3712,3024.0
2026-03-16 00:00:00,1.37121,1.37172,1.371,1.37171,2969.0
2026-03-16 01:00:00,1.37172,1.37192,1.37142,1.37172,3314.0
2026-03-16 02:00:00,1.37173,1.37232,1.37116,1.3719,4579.0
2026-03-16 03:00:00,1.37188,1.372,1.37038,1.37072,5479.0
2026-03-16 04:00:00,1.37072,1.37092,1.36982,1.36986,7505.0
2026-03-16 05:00:00,1.36986,1.37046,1.3698,1.36996,5857.0
2026-03-16 06:00:00,1.36998,1.37024,1.36911,1.36928,5295.0
2026-03-16 07:00:00,1.36928,1.36934,1.36791,1.36831,4726.0
2026-03-16 08:00:00,1.3683,1.36946,1.36739,1.36924,7749.0
2026-03-16 09:00:00,1.36921,1.36921,1.36586,1.36616,9356.0
2026-03-16 10:00:00,1.36618,1.36765,1.36531,1.3667,8799.0
2026-03-16 11:00:00,1.36671,1.36878,1.36613,1.36842,8304.0
2026-03-16 12:00:00,1.36844,1.3689,1.36741,1.36788,10073.0
2026-03-16 13:00:00,1.36788,1.36843,1.3671,1.36799,8995.0
2026-03-16 14:00:00,1.368,1.368,1.36692,1.36748,6141.0
2026-03-16 15:00:00,1.36747,1.3687,1.36716,1.36802,6253.0
2026-03-16 16:00:00,1.36806,1.36859,1.36782,1.36856,2700.0
2026-03-16 17:00:00,1.36868,1.36891,1.3682,1.36825,838.0
2026-03-16 18:00:00,1.36827,1.36881,1.36812,1.36874,836.0
2026-03-16 19:00:00,1.36874,1.36894,1.36856,1.36873,1408.0
