Timestamp,Open,High,Low,Close,Volume
2026-03-12 05:00:00,31.842,31.882,31.821,31.829,542.0
2026-03-12 06:00:00,31.83,31.854,31.818,31.822,1003.0
2026-03-12 07:00:00,31.825,31.87,31.818,31.87,1194.0
2026-03-12 08:00:00,31.87,31.962,31.868,31.938,1028.0
2026-03-12 09:00:00,31.937,32.058,31.906,32.05,1366.0
2026-03-12 10:00:00,32.046,32.147,32.02,32.101,848.0
2026-03-12 11:00:00,32.103,32.178,32.077,32.098,856.0
2026-03-12 12:00:00,32.096,32.136,32.037,32.087,1434.0
2026-03-12 13:00:00,32.088,32.165,32.056,32.148,701.0
2026-03-12 14:00:00,32.145,32.188,32.137,32.186,616.0
2026-03-12 15:00:00,32.184,32.186,32.174,32.182,113.0
2026-03-12 16:00:00,32.18,32.207,32.178,32.19,187.0
2026-03-12 17:00:00,32.197,32.203,32.126,32.146,109.0
2026-03-12 18:00:00,32.149,32.193,32.149,32.184,421.0
2026-03-12 19:00:00,32.184,32.206,32.146,32.158,187.0
2026-03-12 20:00:00,32.162,32.162,32.105,32.12,488.0
2026-03-12 21:00:00,32.116,32.177,32.082,32.158,300.0
2026-03-12 22:00:00,32.156,32.184,32.134,32.155,270.0
2026-03-12 23:00:00,32.159,32.204,32.148,32.168,226.0
2026-03-13 00:00:00,32.166,32.224,32.165,32.21,263.0
2026-03-13 01:00:00,32.21,32.24,32.207,32.218,122.0
2026-03-13 02:00:00,32.219,32.284,32.216,32.284,299.0
2026-03-13 03:00:00,32.285,32.343,32.264,32.332,481.0
2026-03-13 04:00:00,32.334,32.395,32.28,32.292,770.0
2026-03-13 05:00:00,32.294,32.314,32.251,32.296,601.0
2026-03-13 06:00:00,32.293,32.326,32.256,32.298,545.0
2026-03-13 07:00:00,32.296,32.308,32.232,32.232,1545.0
2026-03-13 08:00:00,32.228,32.242,32.16,32.184,1501.0
2026-03-13 09:00:00,32.182,32.267,32.178,32.215,1800.0
2026-03-13 10:00:00,32.216,32.374,32.216,32.37,1486.0
2026-03-13 11:00:00,32.37,32.408,32.317,32.4,1496.0
2026-03-13 12:00:00,32.404,32.429,32.39,32.414,809.0
2026-03-13 13:00:00,32.415,32.428,32.403,32.427,1233.0
2026-03-13 14:00:00,32.426,32.439,32.418,32.432,391.0
