Timestamp,Open,High,Low,Close,Volume
2026-06-25 14:25:00,0.56519,0.56532,0.56518,0.56532,208.0
2026-06-25 14:30:00,0.56532,0.56532,0.56508,0.5651,241.0
2026-06-25 14:35:00,0.5651,0.56512,0.56492,0.56502,279.0
2026-06-25 14:40:00,0.56504,0.56504,0.56483,0.5649,266.0
2026-06-25 14:45:00,0.5649,0.56494,0.5648,0.5649,159.0
2026-06-25 14:50:00,0.56492,0.56515,0.56492,0.5651,141.0
2026-06-25 14:55:00,0.5651,0.56512,0.5649,0.56493,85.0
2026-06-25 15:00:00,0.56493,0.56493,0.56488,0.56488,2.0
2026-06-25 15:05:00,0.56488,0.56493,0.56478,0.56484,191.0
2026-06-25 15:10:00,0.56482,0.56491,0.56478,0.56488,119.0
2026-06-25 15:15:00,0.5649,0.56506,0.56484,0.56492,165.0
2026-06-25 15:20:00,0.56493,0.56505,0.5649,0.56505,189.0
2026-06-25 15:25:00,0.56504,0.56514,0.565,0.56513,68.0
2026-06-25 15:30:00,0.56514,0.5652,0.5651,0.56516,155.0
2026-06-25 15:35:00,0.56515,0.56517,0.56509,0.5651,67.0
2026-06-25 15:40:00,0.56512,0.56524,0.56476,0.56486,282.0
2026-06-25 15:45:00,0.56484,0.56488,0.56472,0.56472,247.0
2026-06-25 15:50:00,0.56474,0.56478,0.56461,0.56465,215.0
2026-06-25 15:55:00,0.56466,0.56488,0.56465,0.56488,205.0
2026-06-25 16:00:00,0.56489,0.56502,0.56488,0.56495,186.0
2026-06-25 16:05:00,0.56496,0.56498,0.5648,0.56482,191.0
2026-06-25 16:10:00,0.56484,0.56486,0.5648,0.56482,112.0
2026-06-25 16:15:00,0.56482,0.56488,0.56481,0.56484,46.0
2026-06-25 16:20:00,0.56484,0.56502,0.56484,0.56487,114.0
2026-06-25 16:25:00,0.56486,0.56488,0.56481,0.56481,39.0
2026-06-25 16:30:00,0.56482,0.56482,0.5648,0.5648,16.0
2026-06-25 16:35:00,0.5648,0.5648,0.5647,0.56472,44.0
2026-06-25 16:40:00,0.56472,0.5648,0.56471,0.56478,54.0
2026-06-25 16:45:00,0.56478,0.5648,0.56475,0.56476,75.0
2026-06-25 16:50:00,0.56475,0.56482,0.56475,0.56475,52.0
2026-06-25 16:55:00,0.56476,0.5648,0.56473,0.56478,52.0
2026-06-25 17:00:00,0.56489,0.56491,0.56489,0.56491,2.0
2026-06-25 17:05:00,0.56484,0.56518,0.56416,0.56508,185.0
2026-06-25 17:10:00,0.56511,0.5658,0.56508,0.56546,896.0
2026-06-25 17:15:00,0.56545,0.5656,0.5653,0.56532,78.0
2026-06-25 17:20:00,0.56536,0.56555,0.5653,0.5653,480.0
2026-06-25 17:25:00,0.5653,0.56539,0.56446,0.56448,1390.0
2026-06-25 17:30:00,0.56448,0.56449,0.56438,0.56446,70.0
2026-06-25 17:35:00,0.56446,0.56448,0.56442,0.56446,110.0
2026-06-25 17:40:00,0.56442,0.56544,0.56438,0.56492,319.0
2026-06-25 17:45:00,0.56492,0.56494,0.56492,0.56494,16.0
2026-06-25 17:50:00,0.56494,0.56494,0.56469,0.5649,48.0
2026-06-25 17:55:00,0.5649,0.56493,0.56446,0.56493,297.0
2026-06-25 18:00:00,0.56492,0.56492,0.56467,0.56468,155.0
2026-06-25 18:05:00,0.56469,0.56473,0.56464,0.56468,76.0
2026-06-25 18:10:00,0.56465,0.56472,0.56464,0.56466,90.0
2026-06-25 18:15:00,0.56466,0.56475,0.56466,0.56474,63.0
2026-06-25 18:20:00,0.56476,0.56483,0.56475,0.56483,48.0
2026-06-25 18:25:00,0.56484,0.56484,0.56474,0.56474,79.0
2026-06-25 18:30:00,0.56474,0.56476,0.56474,0.56474,46.0
2026-06-25 18:35:00,0.56475,0.5648,0.56474,0.56478,53.0
2026-06-25 18:40:00,0.56478,0.56478,0.5646,0.56462,37.0
2026-06-25 18:45:00,0.56464,0.56466,0.56459,0.56464,37.0
2026-06-25 18:50:00,0.56464,0.5647,0.56462,0.5647,13.0
2026-06-25 18:55:00,0.5647,0.56484,0.56468,0.56474,85.0
2026-06-25 19:00:00,0.56476,0.56476,0.56454,0.56455,140.0
2026-06-25 19:05:00,0.56454,0.56461,0.56452,0.56454,30.0
2026-06-25 19:10:00,0.56455,0.56463,0.56454,0.56461,90.0
2026-06-25 19:15:00,0.5646,0.5646,0.56445,0.5645,151.0
2026-06-25 19:20:00,0.5645,0.56454,0.56446,0.56446,121.0
