Timestamp,Open,High,Low,Close,Volume
2026-06-26 16:15:00,111.574,111.596,111.572,111.575,284.0
2026-06-26 16:20:00,111.574,111.595,111.571,111.595,244.0
2026-06-26 16:25:00,111.594,111.6,111.566,111.566,333.0
2026-06-26 16:30:00,111.566,111.568,111.514,111.538,811.0
2026-06-26 16:35:00,111.538,111.546,111.479,111.505,647.0
2026-06-26 16:40:00,111.504,111.528,111.494,111.522,420.0
2026-06-26 16:45:00,111.522,111.532,111.484,111.492,600.0
2026-06-26 16:50:00,111.488,111.499,111.475,111.485,681.0
2026-06-26 16:55:00,111.486,111.541,111.486,111.526,301.0
2026-06-28 17:00:00,111.473,111.473,111.473,111.473,1.0
2026-06-28 17:05:00,111.471,111.475,111.466,111.468,22.0
2026-06-28 17:10:00,111.468,111.482,111.467,111.48,30.0
2026-06-28 17:15:00,111.476,111.521,111.47,111.49,112.0
2026-06-28 17:20:00,111.49,111.494,111.424,111.468,449.0
2026-06-28 17:25:00,111.468,111.48,111.464,111.468,43.0
2026-06-28 17:30:00,111.468,111.516,111.452,111.454,94.0
2026-06-28 17:35:00,111.443,111.472,111.443,111.472,59.0
2026-06-28 17:40:00,111.471,111.471,111.448,111.448,14.0
2026-06-28 17:45:00,111.45,111.508,111.45,111.478,110.0
2026-06-28 17:50:00,111.472,111.528,111.472,111.498,56.0
2026-06-28 17:55:00,111.492,111.498,111.462,111.482,88.0
2026-06-28 18:00:00,111.486,111.582,111.486,111.55,496.0
2026-06-28 18:05:00,111.552,111.56,111.528,111.537,78.0
2026-06-28 18:10:00,111.533,111.556,111.53,111.542,65.0
2026-06-28 18:15:00,111.542,111.544,111.527,111.527,39.0
2026-06-28 18:20:00,111.526,111.547,111.519,111.539,42.0
2026-06-28 18:25:00,111.534,111.546,111.53,111.532,70.0
2026-06-28 18:30:00,111.53,111.564,111.53,111.54,81.0
2026-06-28 18:35:00,111.536,111.548,111.531,111.546,47.0
2026-06-28 18:40:00,111.552,111.572,111.545,111.56,42.0
2026-06-28 18:45:00,111.558,111.566,111.556,111.562,87.0
2026-06-28 18:50:00,111.558,111.56,111.556,111.556,37.0
2026-06-28 18:55:00,111.557,111.572,111.55,111.55,23.0
2026-06-28 19:00:00,111.547,111.572,111.535,111.564,195.0
2026-06-28 19:05:00,111.564,111.592,111.56,111.59,204.0
2026-06-28 19:10:00,111.595,111.6,111.577,111.58,161.0
2026-06-28 19:15:00,111.578,111.58,111.56,111.56,98.0
2026-06-28 19:20:00,111.562,111.571,111.56,111.566,230.0
2026-06-28 19:25:00,111.566,111.574,111.564,111.57,113.0
2026-06-28 19:30:00,111.572,111.572,111.536,111.542,185.0
2026-06-28 19:35:00,111.542,111.574,111.537,111.574,168.0
2026-06-28 19:40:00,111.572,111.58,111.566,111.566,141.0
2026-06-28 19:45:00,111.565,111.57,111.545,111.554,316.0
2026-06-28 19:50:00,111.554,111.572,111.547,111.562,240.0
2026-06-28 19:55:00,111.563,111.596,111.56,111.572,360.0
2026-06-28 20:00:00,111.572,111.577,111.471,111.495,1586.0
2026-06-28 20:05:00,111.494,111.499,111.454,111.466,1286.0
2026-06-28 20:10:00,111.464,111.474,111.403,111.405,797.0
2026-06-28 20:15:00,111.404,111.423,111.362,111.379,960.0
2026-06-28 20:20:00,111.379,111.407,111.362,111.402,735.0
2026-06-28 20:25:00,111.402,111.414,111.373,111.373,711.0
2026-06-28 20:30:00,111.372,111.392,111.366,111.378,790.0
2026-06-28 20:35:00,111.378,111.404,111.368,111.376,806.0
2026-06-28 20:40:00,111.375,111.415,111.374,111.415,676.0
