Timestamp,Open,High,Low,Close,Volume
2026-03-10 04:00:00,1.16602,1.16619,1.16432,1.16458,11680.0
2026-03-10 05:00:00,1.16456,1.1659,1.16439,1.16515,8741.0
2026-03-10 06:00:00,1.16516,1.16517,1.16203,1.16395,10422.0
2026-03-10 07:00:00,1.16396,1.16532,1.16362,1.16384,12668.0
2026-03-10 08:00:00,1.16386,1.1641,1.16214,1.16345,13287.0
2026-03-10 09:00:00,1.16346,1.16488,1.16291,1.16324,15338.0
2026-03-10 10:00:00,1.16324,1.16504,1.1627,1.16484,12701.0
2026-03-10 11:00:00,1.16482,1.16552,1.16398,1.16476,10097.0
2026-03-10 12:00:00,1.16476,1.16546,1.16392,1.1652,7915.0
2026-03-10 13:00:00,1.16518,1.16672,1.16414,1.16452,12838.0
2026-03-10 14:00:00,1.16453,1.1646,1.16139,1.16246,24256.0
2026-03-10 15:00:00,1.16246,1.16287,1.16058,1.16142,13908.0
2026-03-10 16:00:00,1.16142,1.16154,1.16078,1.16084,3726.0
2026-03-10 17:00:00,1.16091,1.16119,1.16075,1.16104,1179.0
2026-03-10 18:00:00,1.16107,1.16133,1.16029,1.1605,1508.0
2026-03-10 19:00:00,1.1605,1.1612,1.16048,1.16116,2154.0
2026-03-10 20:00:00,1.16115,1.16248,1.16057,1.1618,7236.0
2026-03-10 21:00:00,1.1618,1.16281,1.16125,1.16269,6703.0
2026-03-10 22:00:00,1.1627,1.16294,1.16188,1.1626,5798.0
2026-03-10 23:00:00,1.16259,1.16318,1.16252,1.16304,3323.0
2026-03-11 00:00:00,1.16304,1.16352,1.16279,1.16338,3317.0
2026-03-11 01:00:00,1.16338,1.16362,1.16302,1.1633,4157.0
2026-03-11 02:00:00,1.16332,1.16409,1.16299,1.16334,5819.0
2026-03-11 03:00:00,1.16333,1.16456,1.16135,1.1617,13113.0
2026-03-11 04:00:00,1.1617,1.16214,1.16036,1.16126,11359.0
2026-03-11 05:00:00,1.16127,1.1614,1.15904,1.15922,14849.0
2026-03-11 06:00:00,1.15922,1.16118,1.15911,1.16071,8836.0
2026-03-11 07:00:00,1.16071,1.16108,1.15946,1.15946,9581.0
2026-03-11 08:00:00,1.15946,1.16056,1.15774,1.15824,14820.0
2026-03-11 09:00:00,1.15825,1.15934,1.15778,1.15917,13502.0
2026-03-11 10:00:00,1.15917,1.16128,1.15812,1.1582,26820.0
2026-03-11 11:00:00,1.15819,1.15842,1.15656,1.15662,11562.0
2026-03-11 12:00:00,1.15662,1.15767,1.15632,1.1571,9823.0
2026-03-11 13:00:00,1.1571,1.15764,1.15608,1.15712,10147.0
2026-03-11 14:00:00,1.15712,1.15744,1.15642,1.15716,7011.0
2026-03-11 15:00:00,1.15718,1.15764,1.15681,1.15732,4409.0
2026-03-11 16:00:00,1.15735,1.15738,1.1565,1.1567,1992.0
2026-03-11 17:00:00,1.15668,1.15745,1.15658,1.15739,910.0
2026-03-11 18:00:00,1.15744,1.15745,1.15496,1.15502,3291.0
2026-03-11 19:00:00,1.15501,1.15539,1.15398,1.15428,3579.0
2026-03-11 20:00:00,1.15428,1.155,1.15342,1.15458,6193.0
2026-03-11 21:00:00,1.1546,1.15556,1.15454,1.15508,6006.0
2026-03-11 22:00:00,1.15508,1.15544,1.15322,1.1539,5119.0
2026-03-11 23:00:00,1.15389,1.15404,1.15332,1.15384,4334.0
2026-03-12 00:00:00,1.15383,1.154,1.15321,1.15332,2603.0
2026-03-12 01:00:00,1.1533,1.15452,1.15327,1.15395,5180.0
2026-03-12 02:00:00,1.15394,1.15515,1.15392,1.15479,5252.0
2026-03-12 03:00:00,1.15478,1.15528,1.15416,1.15512,6620.0
2026-03-12 04:00:00,1.15512,1.15561,1.15433,1.15474,7069.0
2026-03-12 05:00:00,1.15473,1.15613,1.15446,1.15596,5422.0
2026-03-12 06:00:00,1.15596,1.15629,1.15494,1.15578,5373.0
2026-03-12 07:00:00,1.15578,1.15663,1.15525,1.15564,6116.0
2026-03-12 08:00:00,1.15565,1.15574,1.15326,1.15393,8524.0
2026-03-12 09:00:00,1.15394,1.15504,1.15202,1.15262,16105.0
2026-03-12 10:00:00,1.15262,1.15332,1.15158,1.15206,14741.0
2026-03-12 11:00:00,1.15205,1.15288,1.1511,1.1522,18227.0
2026-03-12 12:00:00,1.15218,1.15327,1.15137,1.1522,13297.0
2026-03-12 13:00:00,1.1522,1.15319,1.15193,1.1522,9140.0
2026-03-12 14:00:00,1.15219,1.15244,1.15114,1.15122,5924.0
2026-03-12 15:00:00,1.15122,1.15185,1.15107,1.15152,5145.0
2026-03-12 16:00:00,1.15151,1.15164,1.15102,1.15109,2314.0
2026-03-12 17:00:00,1.1513,1.15138,1.15113,1.15126,641.0
2026-03-12 18:00:00,1.15126,1.15214,1.1511,1.1519,2140.0
2026-03-12 19:00:00,1.1519,1.15231,1.1515,1.1521,2284.0
2026-03-12 20:00:00,1.15212,1.15284,1.15205,1.15235,4839.0
2026-03-12 21:00:00,1.15235,1.15298,1.15146,1.15166,4752.0
2026-03-12 22:00:00,1.15165,1.15222,1.15112,1.15138,4428.0
2026-03-12 23:00:00,1.15135,1.15158,1.15048,1.15092,3984.0
2026-03-13 00:00:00,1.1509,1.15092,1.15,1.15033,3211.0
2026-03-13 01:00:00,1.15034,1.15066,1.14999,1.15009,3127.0
2026-03-13 02:00:00,1.1501,1.15034,1.14824,1.14828,5725.0
2026-03-13 03:00:00,1.14829,1.14838,1.14542,1.1458,9209.0
2026-03-13 04:00:00,1.14579,1.14592,1.1433,1.14452,12136.0
2026-03-13 05:00:00,1.14452,1.14616,1.14452,1.14532,9420.0
2026-03-13 06:00:00,1.14532,1.14722,1.1452,1.14584,7710.0
2026-03-13 07:00:00,1.14582,1.14708,1.14554,1.14686,10426.0
2026-03-13 08:00:00,1.14684,1.14886,1.14611,1.14779,14805.0
2026-03-13 09:00:00,1.1478,1.14902,1.14738,1.14788,13708.0
2026-03-13 10:00:00,1.1479,1.14848,1.14556,1.14572,13991.0
2026-03-13 11:00:00,1.14572,1.14612,1.14345,1.14431,14400.0
2026-03-13 12:00:00,1.14432,1.14505,1.14362,1.14422,11867.0
2026-03-13 13:00:00,1.1442,1.14462,1.14337,1.14424,8227.0
2026-03-13 14:00:00,1.14424,1.14429,1.14318,1.1436,5956.0
2026-03-13 15:00:00,1.1436,1.14369,1.142,1.14224,5166.0
2026-03-13 16:00:00,1.14223,1.14228,1.1411,1.14166,3724.0
2026-03-15 17:00:00,1.1424,1.14308,1.14232,1.14305,1080.0
2026-03-15 18:00:00,1.14284,1.14337,1.1419,1.14298,4983.0
2026-03-15 19:00:00,1.14298,1.14358,1.14261,1.14355,4569.0
2026-03-15 20:00:00,1.14356,1.14556,1.1435,1.14549,6331.0
2026-03-15 21:00:00,1.1455,1.14566,1.14397,1.14494,6838.0
2026-03-15 22:00:00,1.14494,1.14516,1.1445,1.14481,4475.0
2026-03-15 23:00:00,1.14482,1.1454,1.14458,1.14506,3079.0
2026-03-16 00:00:00,1.14505,1.14516,1.14416,1.14416,2336.0
2026-03-16 01:00:00,1.14416,1.14434,1.14332,1.14346,3188.0
2026-03-16 02:00:00,1.14344,1.14365,1.14242,1.14316,4604.0
2026-03-16 03:00:00,1.14316,1.14348,1.14143,1.1426,6761.0
2026-03-16 04:00:00,1.14259,1.14454,1.14259,1.14448,9650.0
2026-03-16 05:00:00,1.1445,1.14527,1.1441,1.14501,7736.0
2026-03-16 06:00:00,1.145,1.14779,1.14478,1.14753,8674.0
2026-03-16 07:00:00,1.14754,1.14872,1.14709,1.14794,7198.0
2026-03-16 08:00:00,1.14794,1.1488,1.14722,1.14739,8675.0
2026-03-16 09:00:00,1.1474,1.15009,1.1474,1.15003,9446.0
2026-03-16 10:00:00,1.15002,1.15022,1.14804,1.14888,11979.0
2026-03-16 11:00:00,1.14888,1.15004,1.14804,1.1487,7844.0
2026-03-16 12:00:00,1.14869,1.14993,1.14776,1.14935,8910.0
2026-03-16 13:00:00,1.14936,1.15042,1.14906,1.14922,9023.0
